Series_reference,Period
BDCQ.SF1BB1CS,2021.03
BDCQ.SF1BB1CT,2016.06
BDCQ.SF1BB1CT,2016.09
BDCQ.SF1BB1CT,2016.12
BDCQ.SF1BB1CT,2017.03
BDCQ.SF1BB1CT,2017.06
BDCQ.SF1BB1CT,2017.09
BDCQ.SF1BB1CT,2017.12
BDCQ.SF1BB1CT,2018.03
BDCQ.SF1BB1CT,2018.06
BDCQ.SF1BB1CT,2018.09
BDCQ.SF1BB1CT,2018.12
BDCQ.SF1BB1CT,2019.03
BDCQ.SF1BB1CT,2019.06
BDCQ.SF1BB1CT,2019.09
BDCQ.SF1BB1CT,2019.12
BDCQ.SF1BB1CT,2020.03
BDCQ.SF1BB1CT,2020.06
BDCQ.SF1BB1CT,2020.09
BDCQ.SF1BB1CT,2020.12
BDCQ.SF1BB1CT,2021.03
BDCQ.SF1CC1CA,2016.06
BDCQ.SF1CC1CA,2016.09
BDCQ.SF1CC1CA,2016.12
BDCQ.SF1CC1CA,2017.03
BDCQ.SF1CC1CA,2017.06
BDCQ.SF1CC1CA,2017.09
BDCQ.SF1CC1CA,2017.12
BDCQ.SF1CC1CA,2018.03
BDCQ.SF1CC1CA,2018.06
BDCQ.SF1CC1CA,2018.09
BDCQ.SF1CC1CA,2018.12
BDCQ.SF1CC1CA,2019.03
BDCQ.SF1CC1CA,2019.06
BDCQ.SF1CC1CA,2019.09
BDCQ.SF1CC1CA,2019.12
BDCQ.SF1CC1CA,2020.03
BDCQ.SF1CC1CA,2020.06
BDCQ.SF1CC1CA,2020.09
BDCQ.SF1CC1CA,2020.12
BDCQ.SF1CC1CA,2021.03
BDCQ.SF1CC1CS,2016.06
BDCQ.SF1CC1CS,2016.09
BDCQ.SF1CC1CS,2016.12
BDCQ.SF1CC1CS,2017.03
BDCQ.SF1CC1CS,2017.06
BDCQ.SF1CC1CS,2017.09
BDCQ.SF1CC1CS,2017.12
BDCQ.SF1CC1CS,2018.03
BDCQ.SF1CC1CS,2018.06
BDCQ.SF1CC1CS,2018.09
BDCQ.SF1CC1CS,2018.12
BDCQ.SF1CC1CS,2019.03
BDCQ.SF1CC1CS,2019.06
BDCQ.SF1CC1CS,2019.09
BDCQ.SF1CC1CS,2019.12
BDCQ.SF1CC1CS,2020.03
BDCQ.SF1CC1CS,2020.06
BDCQ.SF1CC1CS,2020.09
BDCQ.SF1CC1CS,2020.12
BDCQ.SF1CC1CS,2021.03
BDCQ.SF1CC1CT,2016.06
BDCQ.SF1CC1CT,2016.09
BDCQ.SF1CC1CT,2016.12
BDCQ.SF1CC1CT,2017.03
BDCQ.SF1CC1CT,2017.06
BDCQ.SF1CC1CT,2017.09
BDCQ.SF1CC1CT,2017.12
BDCQ.SF1CC1CT,2018.03
BDCQ.SF1CC1CT,2018.06
BDCQ.SF1CC1CT,2018.09
BDCQ.SF1CC1CT,2018.12
BDCQ.SF1CC1CT,2019.03
BDCQ.SF1CC1CT,2019.06
BDCQ.SF1CC1CT,2019.09
BDCQ.SF1CC1CT,2019.12
BDCQ.SF1CC1CT,2020.03
BDCQ.SF1CC1CT,2020.06
BDCQ.SF1CC1CT,2020.09
BDCQ.SF1CC1CT,2020.12
BDCQ.SF1CC1CT,2021.03
BDCQ.SF1CC2CA,2016.06
BDCQ.SF1CC2CA,2016.09
BDCQ.SF1CC2CA,2016.12
BDCQ.SF1CC2CA,2017.03
BDCQ.SF1CC2CA,2017.06
BDCQ.SF1CC2CA,2017.09
BDCQ.SF1CC2CA,2017.12
BDCQ.SF1CC2CA,2018.03
BDCQ.SF1CC2CA,2018.06
BDCQ.SF1CC2CA,2018.09
BDCQ.SF1CC2CA,2018.12
BDCQ.SF1CC2CA,2019.03
BDCQ.SF1CC2CA,2019.06
BDCQ.SF1CC2CA,2019.09
BDCQ.SF1CC2CA,2019.12
BDCQ.SF1CC2CA,2020.03
BDCQ.SF1CC2CA,2020.06
BDCQ.SF1CC2CA,2020.09
BDCQ.SF1CC2CA,2020.12
BDCQ.SF1CC2CA,2021.03
BDCQ.SF1CC2CS,2016.06
BDCQ.SF1CC2CS,2016.09
BDCQ.SF1CC2CS,2016.12
BDCQ.SF1CC2CS,2017.03
BDCQ.SF1CC2CS,2017.06
BDCQ.SF1CC2CS,2017.09
BDCQ.SF1CC2CS,2017.12
BDCQ.SF1CC2CS,2018.03
BDCQ.SF1CC2CS,2018.06
BDCQ.SF1CC2CS,2018.09
BDCQ.SF1CC2CS,2018.12
BDCQ.SF1CC2CS,2019.03
BDCQ.SF1CC2CS,2019.06
BDCQ.SF1CC2CS,2019.09
BDCQ.SF1CC2CS,2019.12
BDCQ.SF1CC2CS,2020.03
BDCQ.SF1CC2CS,2020.06
BDCQ.SF1CC2CS,2020.09
BDCQ.SF1CC2CS,2020.12
BDCQ.SF1CC2CS,2021.03
BDCQ.SF1CC2CT,2016.06
BDCQ.SF1CC2CT,2016.09
BDCQ.SF1CC2CT,2016.12
BDCQ.SF1CC2CT,2017.03
BDCQ.SF1CC2CT,2017.06
BDCQ.SF1CC2CT,2017.09
BDCQ.SF1CC2CT,2017.12
BDCQ.SF1CC2CT,2018.03
BDCQ.SF1CC2CT,2018.06
BDCQ.SF1CC2CT,2018.09
BDCQ.SF1CC2CT,2018.12
BDCQ.SF1CC2CT,2019.03
BDCQ.SF1CC2CT,2019.06
BDCQ.SF1CC2CT,2019.09
BDCQ.SF1CC2CT,2019.12
BDCQ.SF1CC2CT,2020.03
BDCQ.SF1CC2CT,2020.06
BDCQ.SF1CC2CT,2020.09
BDCQ.SF1CC2CT,2020.12
BDCQ.SF1CC2CT,2021.03
BDCQ.SF1CC3CA,2016.06
BDCQ.SF1CC3CA,2016.09
BDCQ.SF1CC3CA,2016.12
BDCQ.SF1CC3CA,2017.03
BDCQ.SF1CC3CA,2017.06
BDCQ.SF1CC3CA,2017.09
BDCQ.SF1CC3CA,2017.12
BDCQ.SF1CC3CA,2018.03
BDCQ.SF1CC3CA,2018.06
BDCQ.SF1CC3CA,2018.09
BDCQ.SF1CC3CA,2018.12
BDCQ.SF1CC3CA,2019.03
BDCQ.SF1CC3CA,2019.06
BDCQ.SF1CC3CA,2019.09
BDCQ.SF1CC3CA,2019.12
BDCQ.SF1CC3CA,2020.03
BDCQ.SF1CC3CA,2020.06
BDCQ.SF1CC3CA,2020.09
BDCQ.SF1CC3CA,2020.12
BDCQ.SF1CC3CA,2021.03
BDCQ.SF1CC3CS,2016.06
BDCQ.SF1CC3CS,2016.09
BDCQ.SF1CC3CS,2016.12
BDCQ.SF1CC3CS,2017.03
BDCQ.SF1CC3CS,2017.06
BDCQ.SF1CC3CS,2017.09
BDCQ.SF1CC3CS,2017.12
BDCQ.SF1CC3CS,2018.03
BDCQ.SF1CC3CS,2018.06
BDCQ.SF1CC3CS,2018.09
BDCQ.SF1CC3CS,2018.12
BDCQ.SF1CC3CS,2019.03
BDCQ.SF1CC3CS,2019.06
BDCQ.SF1CC3CS,2019.09
BDCQ.SF1CC3CS,2019.12
BDCQ.SF1CC3CS,2020.03
BDCQ.SF1CC3CS,2020.06
BDCQ.SF1CC3CS,2020.09
BDCQ.SF1CC3CS,2020.12
BDCQ.SF1CC3CS,2021.03
BDCQ.SF1CC3CT,2016.06
BDCQ.SF1CC3CT,2016.09
BDCQ.SF1CC3CT,2016.12
BDCQ.SF1CC3CT,2017.03
BDCQ.SF1CC3CT,2017.06
BDCQ.SF1CC3CT,2017.09
BDCQ.SF1CC3CT,2017.12
BDCQ.SF1CC3CT,2018.03
BDCQ.SF1CC3CT,2018.06
BDCQ.SF1CC3CT,2018.09
BDCQ.SF1CC3CT,2018.12
BDCQ.SF1CC3CT,2019.03
BDCQ.SF1CC3CT,2019.06
BDCQ.SF1CC3CT,2019.09
BDCQ.SF1CC3CT,2019.12
BDCQ.SF1CC3CT,2020.03
BDCQ.SF1CC3CT,2020.06
BDCQ.SF1CC3CT,2020.09
BDCQ.SF1CC3CT,2020.12
BDCQ.SF1CC3CT,2021.03
BDCQ.SF1CC4CA,2016.06
BDCQ.SF1CC4CA,2016.09
BDCQ.SF1CC4CA,2016.12
BDCQ.SF1CC4CA,2017.03
BDCQ.SF1CC4CA,2017.06
BDCQ.SF1CC4CA,2017.09
BDCQ.SF1CC4CA,2017.12
BDCQ.SF1CC4CA,2018.03
BDCQ.SF1CC4CA,2018.06
BDCQ.SF1CC4CA,2018.09
BDCQ.SF1CC4CA,2018.12
BDCQ.SF1CC4CA,2019.03
BDCQ.SF1CC4CA,2019.06
BDCQ.SF1CC4CA,2019.09
BDCQ.SF1CC4CA,2019.12
BDCQ.SF1CC4CA,2020.03
BDCQ.SF1CC4CA,2020.06
BDCQ.SF1CC4CA,2020.09
BDCQ.SF1CC4CA,2020.12
BDCQ.SF1CC4CA,2021.03
BDCQ.SF1CC4CS,2016.06
BDCQ.SF1CC4CS,2016.09
BDCQ.SF1CC4CS,2016.12
BDCQ.SF1CC4CS,2017.03
BDCQ.SF1CC4CS,2017.06
BDCQ.SF1CC4CS,2017.09
BDCQ.SF1CC4CS,2017.12
BDCQ.SF1CC4CS,2018.03
BDCQ.SF1CC4CS,2018.06
BDCQ.SF1CC4CS,2018.09
BDCQ.SF1CC4CS,2018.12
BDCQ.SF1CC4CS,2019.03
BDCQ.SF1CC4CS,2019.06
BDCQ.SF1CC4CS,2019.09
BDCQ.SF1CC4CS,2019.12
BDCQ.SF1CC4CS,2020.03
BDCQ.SF1CC4CS,2020.06
BDCQ.SF1CC4CS,2020.09
BDCQ.SF1CC4CS,2020.12
BDCQ.SF1CC4CS,2021.03
BDCQ.SF1CC4CT,2016.06
BDCQ.SF1CC4CT,2016.09
BDCQ.SF1CC4CT,2016.12
BDCQ.SF1CC4CT,2017.03
BDCQ.SF1CC4CT,2017.06
BDCQ.SF1CC4CT,2017.09
BDCQ.SF1CC4CT,2017.12
BDCQ.SF1CC4CT,2018.03
BDCQ.SF1CC4CT,2018.06
BDCQ.SF1CC4CT,2018.09
BDCQ.SF1CC4CT,2018.12
BDCQ.SF1CC4CT,2019.03
BDCQ.SF1CC4CT,2019.06
BDCQ.SF1CC4CT,2019.09
BDCQ.SF1CC4CT,2019.12
BDCQ.SF1CC4CT,2020.03
BDCQ.SF1CC4CT,2020.06
BDCQ.SF1CC4CT,2020.09
BDCQ.SF1CC4CT,2020.12
BDCQ.SF1CC4CT,2021.03
BDCQ.SF1CC5CA,2016.06
BDCQ.SF1CC5CA,2016.09
BDCQ.SF1CC5CA,2016.12
BDCQ.SF1CC5CA,2017.03
BDCQ.SF1CC5CA,2017.06
BDCQ.SF1CC5CA,2017.09
BDCQ.SF1CC5CA,2017.12
BDCQ.SF1CC5CA,2018.03
BDCQ.SF1CC5CA,2018.06
BDCQ.SF1CC5CA,2018.09
BDCQ.SF1CC5CA,2018.12
BDCQ.SF1CC5CA,2019.03
BDCQ.SF1CC5CA,2019.06
BDCQ.SF1CC5CA,2019.09
BDCQ.SF1CC5CA,2019.12
BDCQ.SF1CC5CA,2020.03
BDCQ.SF1CC5CA,2020.06
BDCQ.SF1CC5CA,2020.09
BDCQ.SF1CC5CA,2020.12
BDCQ.SF1CC5CA,2021.03
BDCQ.SF1CC5CS,2016.06
BDCQ.SF1CC5CS,2016.09
BDCQ.SF1CC5CS,2016.12
BDCQ.SF1CC5CS,2017.03
BDCQ.SF1CC5CS,2017.06
BDCQ.SF1CC5CS,2017.09
BDCQ.SF1CC5CS,2017.12
BDCQ.SF1CC5CS,2018.03
BDCQ.SF1CC5CS,2018.06
BDCQ.SF1CC5CS,2018.09
BDCQ.SF1CC5CS,2018.12
BDCQ.SF1CC5CS,2019.03
BDCQ.SF1CC5CS,2019.06
BDCQ.SF1CC5CS,2019.09
BDCQ.SF1CC5CS,2019.12
BDCQ.SF1CC5CS,2020.03
BDCQ.SF1CC5CS,2020.06
BDCQ.SF1CC5CS,2020.09
BDCQ.SF1CC5CS,2020.12
BDCQ.SF1CC5CS,2021.03
BDCQ.SF1CC5CT,2016.06
BDCQ.SF1CC5CT,2016.09
BDCQ.SF1CC5CT,2016.12
BDCQ.SF1CC5CT,2017.03
BDCQ.SF1CC5CT,2017.06
